direction,Date,Price,size,structure,carry,managementFee
sell,"May 30, 2021",1062.9,170000000,spv,20%,0
sell,"Jun 1, 2021",1225,3000000,spv,20%,0
sell,"Jun 1, 2021",1115,50000000,spv,20%,2%
sell,"Jun 3, 2021",1211,50000000,spv,20%,0
sell,"Jun 3, 2021",1199,30000000,spv,20%,2%
sell,"Jun 3, 2021",1115,50000000,spv,20%,2%
sell,"Jun 4, 2021",1199.5,50000000,spv,20%,0
sell,"Jun 4, 2021",1199.5,50000000,spv,20%,0
sell,"Jun 4, 2021",1115,10000000,spv,20%,2%
sell,"Jun 4, 2021",1115,100000000,spv,20%,2%
sell,"Jun 4, 2021",954.78,120000000,spv,15%,1%
sell,"Jun 10, 2021",1055,20000000,spv,20%,2%
sell,"Jun 12, 2021",1062.9,170000000,spv,20%,0
sell,"Jun 16, 2021",1135,5000000,spv,20%,0
sell,"Jun 17, 2021",1065,50000000,spv,20%,2%
sell,"Jun 18, 2021",1199.5,50000000,spv,20%,0
sell,"Jun 18, 2021",1199.5,50000000,spv,20%,0
sell,"Jun 18, 2021",1105,5000000,spv,20%,0
sell,"Jun 19, 2021",975,50000000,spv,20%,null
sell,"Jun 21, 2021",855,50000000,spv,20%,1%
buy,"Jun 23, 2021",1315,5000000,unspecified,null,null
sell,"Jun 24, 2021",1105,5000000,spv,20%,0
sell,"Jun 28, 2021",1085,5000000,spv,20%,0
sell,"Jun 29, 2021",null,30000000,spv,25%,2%
buy,"Jun 29, 2021",1315,5000000,unspecified,null,null
sell,"Jun 29, 2021",1085,20000000,spv,20%,0
buy,"Jul 5, 2021",null,10000000,unspecified,null,null
sell,"Jul 5, 2021",1185,8000000,spv,20%,0
sell,"Jul 23, 2021",null,100000000,spv,20%,2%
sell,"Jul 25, 2021",null,200000000,spv,20%,2%
sell,"Jul 26, 2021",1035,20000000,spv,20%,1%
sell,"Aug 3, 2021",1065,20000000,spv,20%,null
sell,"Aug 4, 2021",1265,20000000,spv,20%,0
sell,"Aug 4, 2021",1211.46,50000000,spv,20%,0
buy,"Aug 6, 2021",1115,30000000,unspecified,null,null
sell,"Aug 6, 2021",1065,20000000,spv,20%,1%
buy,"Aug 6, 2021",915,30000000,unspecified,null,null
sell,"Aug 8, 2021",1185,8000000,spv,20%,0
sell,"Aug 8, 2021",1085,5000000,spv,20%,0
sell,"Aug 8, 2021",1055,30000000,spv,25%,2.50%
sell,"Aug 10, 2021",1065,10000000,spv,25%,2.50%
sell,"Aug 10, 2021",908.62,100000000,spv,20%,2%
sell,"Aug 11, 2021",1135,5000000,spv,20%,1%
sell,"Aug 12, 2021",915,200000000,spv,20%,2%
buy,"Aug 13, 2021",943,2000000,unspecified,null,null
sell,"Aug 16, 2021",1185,10000000,spv,20%,0
sell,"Aug 17, 2021",915,200000000,spv,20%,2%
sell,"Aug 23, 2021",915,200000000,spv,20%,2%
sell,"Aug 29, 2021",1107,25000000,spv,20%,null
buy,"Aug 29, 2021",1065,5000000,spv,20%,null
sell,"Aug 31, 2021",1032.6,20000000,spv,20%,2%
buy,"Sep 1, 2021",1015,15000000,spv,20%,null
sell,"Sep 4, 2021",1225,3000000,spv,20%,0
sell,"Sep 4, 2021",1211,50000000,spv,20%,0
sell,"Sep 4, 2021",1199.5,50000000,spv,20%,0
sell,"Sep 4, 2021",1199,30000000,spv,20%,2%
sell,"Sep 4, 2021",1135,5000000,spv,20%,0
sell,"Sep 4, 2021",1115,100000000,spv,20%,2%
sell,"Sep 4, 2021",1085,20000000,spv,20%,0
sell,"Sep 4, 2021",1065,50000000,spv,20%,2%
sell,"Sep 4, 2021",1055,20000000,spv,20%,2%
sell,"Sep 4, 2021",855,30000000,spv,25%,2%
buy,"Sep 5, 2021",1165,10000000,unspecified,null,null
sell,"Sep 5, 2021",1013,5000000,spv,17.50%,0
sell,"Sep 7, 2021",1225,5000000,spv,20%,0
sell,"Sep 7, 2021",1135,60000000,spv,0,0
sell,"Sep 7, 2021",1115,10000000,spv,25%,2.50%
sell,"Sep 7, 2021",1035,20000000,spv,20%,1%
sell,"Sep 8, 2021",1085,10000000,spv,20%,2%
sell,"Sep 9, 2021",1175,32000000,spv,0,0
sell,"Sep 12, 2021",1085,10000000,spv,20%,0
sell,"Sep 17, 2021",1055,6000000,spv,17.50%,0
buy,"Sep 21, 2021",1015,5000000,unspecified,null,null
sell,"Sep 22, 2021",1115,10000000,spv,20%,null
sell,"Sep 23, 2021",1205,2000000,spv,25%,2%
sell,"Sep 26, 2021",855,10000000,spv,0,0
sell,"Sep 29, 2021",1135,100000000,spv,20%,null
buy,"Oct 2, 2021",1215,10000000,unspecified,null,null
buy,"Oct 2, 2021",943,2000000,unspecified,null,null
